gene,uniprot_id,log2_apoe2_over_apoe3,qvalue,comparison
NDUFS6,O75380,-0.692721466164744,0.00769482523694474,APOE2 / APOE3
COL1A2,P08123,0.683191395498782,0.00160717229046222,APOE2 / APOE3
YY1,P25490,0.682943646010149,0.0098814124110028,APOE2 / APOE3
HS2ST1,Q7LGA3,0.680653213613193,0.0407175350292655,APOE2 / APOE3
MRPS15,P82914,0.680404219849441,0.00802792536060967,APOE2 / APOE3
PDE4DIP,Q5VU43,-0.678779399410073,0.0330407539490612,APOE2 / APOE3
SEPTIN10,Q9P0V9,0.674942769569796,0.00329068670958676,APOE2 / APOE3
QSOX1,O00391,-0.665729241559233,0.0142472865015455,APOE2 / APOE3
NPC2,P61916,0.665142383270487,0.00310111163004023,APOE2 / APOE3
LPCAT3,Q6P1A2,0.664279459828849,0.00177946295375143,APOE2 / APOE3
GJA1,P17302,-0.660842551564144,5.2977589199891e-05,APOE2 / APOE3
EPHA2,P29317,-0.660444115769735,0.000259498766656929,APOE2 / APOE3
TRPV2,Q9Y5S1,-0.65892348897328,0.017966061381492,APOE2 / APOE3
KIFC1,Q9BW19,-0.654936340343743,0.00483782195089857,APOE2 / APOE3
LAMA5,O15230,0.648964529624646,0.000437062492413009,APOE2 / APOE3
COL4A1,P02462,-0.647443752093831,0.0400196494320954,APOE2 / APOE3
GNPDA1,P46926,0.646331846823524,0.0157327771148243,APOE2 / APOE3
FKBP11,Q9NYL4,-0.645018492289504,0.0178013658679306,APOE2 / APOE3
GM2A,P17900,0.643052366906003,3.21869685575448e-05,APOE2 / APOE3
SELENBP1,Q13228,0.640929058723171,0.0268095628340979,APOE2 / APOE3
TNS2,Q63HR2,0.640505491895772,0.00941740364384799,APOE2 / APOE3
KRT19,P08727,-0.637641131630652,0.0063972309641287,APOE2 / APOE3
PC,P11498,0.635509219407377,0.000662742330589266,APOE2 / APOE3
SUB1,P53999,-0.634488907055056,0.0204592461991511,APOE2 / APOE3
FHL1,Q13642,-0.63385365868865,0.00957853582573678,APOE2 / APOE3
EIF2AK4,Q9P2K8,-0.624722745810004,0.0157327771148243,APOE2 / APOE3
ARMC9,Q7Z3E5,-0.62004712632282,0.0410798218091095,APOE2 / APOE3
