symbol,uniprot_id,log2_age4_over_age1,adj_p_val,cluster
BCAM,P50895,0.583856727384262,7.75725641294124e-05,Increased in senescence
BCAP31,P51572,0.325892757196723,0.00472465945037492,Increased in senescence
BCAT2,O15382,0.556594230339449,0.000235420825519359,Increased in senescence
BCL2L13,Q9BXK5,0.512356033933777,0.000524100341370473,Increased in senescence
BFAR,Q9NZS9,0.649531904953143,0.0049708918803247,Increased in senescence
BICC1,Q9H694,0.437045708590468,0.00190046604395477,Increased in senescence
BLOC1S4,Q9NUP1,0.450476326030085,0.00702755904723759,Increased in senescence
BLVRA,P53004,0.341793742059142,0.000856636099877578,Increased in senescence
BMAL1,O00327,0.749893034003518,0.00272977963165063,Increased in senescence
BMP2K,Q9NSY1,0.436576584691753,0.00222632120159101,Increased in senescence
BNIP3,Q12983,0.804910304005723,0.000210122252347713,Increased in senescence
BNIP3L,O60238,0.589585360947634,0.0016048891577378,Increased in senescence
BORCS6,Q96GS4,0.378098788817105,0.00861721287480064,Increased in senescence
BRF1,Q92994,0.404723089717557,0.00407114088835416,Increased in senescence
BST1,Q10588,0.360413348700437,0.00405649649708911,Increased in senescence
BTBD8,Q5XKL5,0.476654428035067,0.0063979197840902,Increased in senescence
BTBD9,Q96Q07,0.393269306338247,0.00628063523583671,Increased in senescence
C12orf57,Q99622,0.680012792542891,0.00814686287950165,Increased in senescence
C1GALT1,Q9NS00,0.534858078726373,0.000636775334642403,Increased in senescence
C1GALT1C1,Q96EU7,0.516845290665,0.000313865456399877,Increased in senescence
C1S,P09871,0.355775658191538,0.000950005667088516,Increased in senescence
C2CD2,Q9Y426,0.420245393344235,0.000497996344189525,Increased in senescence
C6orf132,Q5T0Z8,0.504069947339897,0.0049384667482523,Increased in senescence
C6orf136,Q5SQH8,0.889073430444626,0.00773380747454083,Increased in senescence
CADM1,Q9BY67,1.02415512139511,9.53165122402172e-05,Increased in senescence
CALB2,P22676,1.11678846168379,0.000247479808669272,Increased in senescence
CALD1,Q05682,0.388938346830351,0.00123851227106195,Increased in senescence
CAMK1,Q14012,0.343485075787132,0.00427333043698047,Increased in senescence
CAMK2G,Q13555,0.403087803473202,0.00151786650449243,Increased in senescence
CARD10,Q9BWT7,0.386531125188874,0.00788148590788229,Increased in senescence
CARD6,Q9BX69,0.404657419626389,0.00433157173569871,Increased in senescence
CARS1,P49589,0.432660440646266,0.00126249620577796,Increased in senescence
CARS2,Q9HA77,0.338370112972974,0.0041310243672564,Increased in senescence
CASP4,P49662,0.340289259762116,0.00377068813691489,Increased in senescence
CASS4,Q9NQ75,0.902111889846992,0.000467831693213958,Increased in senescence
CAV1,Q03135,0.334328047735731,0.00342640024173494,Increased in senescence
CAVIN1,Q6NZI2,0.324440118603366,0.00139620686580191,Increased in senescence
CAVIN3,Q969G5,0.39679861089013,0.00194371894266298,Increased in senescence
CBS,P35520,0.705275503316827,9.84749880365161e-05,Increased in senescence
CCBE1,Q6UXH8,0.788028295007908,0.000736626462610998,Increased in senescence
CCDC51,Q96ER9,0.329928454620852,0.00201691722844653,Increased in senescence
CCDC90B,Q9GZT6,0.458550581071677,0.00023647167854188,Increased in senescence
CCDC9B,Q6ZUT6,0.441011373312776,0.000742523824799434,Increased in senescence
CCND1,P24385,0.544533934908294,0.00104649464136145,Increased in senescence
CCND3,P30281,0.644797471900418,0.000477438488645056,Increased in senescence
CCNY,Q8ND76,0.341363888127006,0.000782853453344831,Increased in senescence
CCNYL1,Q8N7R7,0.400513230898618,0.00425922289779182,Increased in senescence
CD109,Q6YHK3,0.625963635739382,0.000378274683815821,Increased in senescence
CD276,Q5ZPR3,0.325312509417593,0.00585932925091476,Increased in senescence
CD2AP,Q9Y5K6,0.451453137573495,0.000273491108701864,Increased in senescence
CD46,P15529,0.386783475419779,0.00177264171485933,Increased in senescence
CD82,P27701,1.28486838799811,4.8069932869724e-05,Increased in senescence
CDCP1,Q9H5V8,0.863103987250586,0.00053833960756195,Increased in senescence
CDH13,P55290,1.30145755189969,0.000889598190691753,Increased in senescence
CDK4,P11802,0.41438247305701,0.00196107308794934,Increased in senescence
CDK5RAP3,Q96JB5,0.383598200438513,0.000378274683815821,Increased in senescence
CDKN1A,P38936,0.656285916137708,0.000384525263732907,Increased in senescence
