Species,order,CMR,ICM,lifeexp,FemaleMeanMass,MaleMeanMass,Animal,Vertebrate,Invertebrate,Fish,Herptile,Bird,Mammal
Litocranius_walleri,Artiodactyla,0.035714285714286,0.083791927128628,1757.56127358648,23.8813221876481,27.3249270297556,0,0,0,0,0,0,0
Lontra_canadensis,Carnivora,0.136363636363636,0.119901606183681,4481.4161998137,7.64136842217993,9.08973067211049,1,1,1,1,0,0,0
Lutra_lutra,Carnivora,0,0,3164.1048982862,5.6883686185567,7.6388431372549,1,1,0,1,0,0,0
Lycaon_pictus,Carnivora,0.140939597315436,0.156565997007264,2649.60619872946,26.9698713847932,31.2394779567612,1,1,0,0,0,0,1
Lynx_lynx,Carnivora,0.088235294117647,0.039201095953781,4925.26158383773,17.9161136276787,23.0851070530846,1,1,0,0,0,1,1
Macaca_fascicularis,Primates,0.035714285714286,0.040930675638401,4822.26394735567,7.74282864944649,6.14245928571429,1,0,1,0,0,0,0
Macaca_fuscata,Primates,0.083333333333333,0.064023737568177,6508.84055950905,10.6650511914425,13.1849608883705,1,1,1,0,0,0,0
Macaca_nigra,Primates,0,0,4607.7441544695,7.79432857261698,12.1071461004938,1,0,1,0,0,0,0
Macaca_silenus,Primates,0.066666666666667,0.032060597230164,5794.96250486825,6.64559842077009,11.0172140006861,1,0,1,0,0,0,0
Macaca_sylvanus,Primates,0,NA,4835.50153875661,12.6089564673593,12.734670345679,0,0,0,0,0,0,0
Macropus_giganteus,Diprotodontia,0.12,0.261783485973131,3315.5378817865,29.0707655488485,46.9889059716535,0,0,0,0,0,0,0
Macropus_parma,Diprotodontia,0,0,1477.29432241005,4.00526047872598,4.75389392536619,0,0,0,0,0,0,0
Macropus_rufogriseus,Diprotodontia,0.01195219123506,0.012944476457118,1966.65805311848,11.3973826246517,15.6723400074262,0,0,0,0,0,0,0
Macropus_rufus,Diprotodontia,0.100719424460432,0.149024451555701,2275.31256330002,23.8147780521303,44.7134946904615,0,0,0,0,0,0,0
Macroscelides_proboscideus,Macroscelidea,0,0,1135.71328736361,0.043469042207792,0.040065025974026,1,0,1,0,0,0,0
Madoqua_kirkii,Artiodactyla,0.016393442622951,0.009819397003392,2140.69874544078,5.34438277547893,4.67735255424561,0,0,0,0,0,0,0
Mico_argentatus,Primates,0.035714285714286,0.025369510144482,2689.82671926812,0.376724466423738,0.355262306101344,0,0,0,0,0,0,0
Mico_melanurus,Primates,0.047619047619048,0.036399078086039,2116.18819468208,0.388024517374517,0.371726651480638,1,1,1,0,1,0,0
Microcebus_murinus,Primates,0.129032258064516,0.065413422164872,2773.29849674684,0.084442368527435,0.076774945661356,1,1,1,0,1,0,0
Mungos_mungo,Carnivora,0.068181818181818,0.022410945305962,2962.09561062361,1.64990504305043,1.54334638655462,1,1,1,0,0,0,0
Muntiacus_muntjak,Artiodactyla,0,NA,4266.89477909309,21.7545685714286,25.8240195642857,0,0,0,0,0,0,0
Muntiacus_reevesi,Artiodactyla,0.009708737864078,0.01429904930784,2857.87208567954,9.63260252699387,10.9607104031285,0,0,0,0,0,0,0
Mustela_lutreola,Carnivora,0.153846153846154,0.123349260076737,2261.91803804148,0.724435694572217,1.08666211267606,1,1,1,0,1,0,1
Mustela_nigripes,Carnivora,0.111111111111111,0.099756999352066,1471.49632053421,0.826167191041309,1.02351771344587,1,1,0,0,0,0,1
Myocastor_coypus,Rodentia,0.037037037037037,0.030469006641524,951.728336352324,5.22761037037037,5.85631781818182,0,0,0,0,0,0,0
Nanger_dama,Artiodactyla,0.018691588785047,0.019625935457293,2331.08216601332,46.5601482528406,57.5626062073917,0,0,0,0,0,0,0
Nasua_nasua,Carnivora,0.039370078740158,0.100968972531047,3252.72889113697,4.50696894789727,5.677517452454,1,0,1,0,0,0,0
Neofelis_nebulosa,Carnivora,0.260869565217391,0.290977247763688,4215.3852364407,14.3509767431301,21.4339987357239,1,1,0,0,0,0,1
Nycticebus_pygmaeus,Primates,0.1875,0.16376808764068,3585.03103385412,0.568751414537988,0.553588456975376,1,1,1,0,1,0,1
Odocoileus_virginianus,Artiodactyla,0,0,3189.75885783937,42.2035907686957,48.0459677634409,0,0,0,0,0,0,0
Oryx_beisa,Artiodactyla,0,0,4041.11207852629,142.879467864407,150.680143757576,0,0,0,0,0,0,0
Oryx_dammah,Artiodactyla,0.016393442622951,0.012084232545668,3507.35226930011,137.288851408775,139.84406766483,0,0,0,0,0,0,0
Oryx_gazella,Artiodactyla,0,0,3094.83535601303,165.900881864662,162.821695671233,0,0,0,0,0,0,0
Oryx_leucoryx,Artiodactyla,0,0,3425.34732059243,87.0362222532633,86.181944200705,0,0,0,0,0,0,0
Otocolobus_manul,Carnivora,0.085714285714286,0.093155415299086,2688.23450170889,3.97783189591469,4.40107821653933,1,1,0,0,0,1,1
Otocyon_megalotis,Carnivora,0.260869565217391,0.199313956034228,4006.59387829611,4.77172384828198,4.84845266213866,1,1,1,0,0,1,1
Ovibos_moschatus,Artiodactyla,0,0,2993.98549661181,228.278823514607,296.462277969231,0,0,0,0,0,0,0
Pachyuromys_duprasi,Rodentia,0.05,NA,1455.81087051929,0.053739907807808,0.071732904884319,1,0,1,0,0,0,0
Pan_troglodytes,Primates,0.020833333333333,NA,10519.6447792468,56.1708950127295,63.7315281179406,0,0,0,0,0,0,0
Panthera_leo,Carnivora,0.127450980392157,0.119728772991464,4678.41030545105,135.622714463467,188.264843077198,1,1,0,0,0,0,1
Panthera_onca,Carnivora,0.24390243902439,0.219981076750127,5659.17618622626,50.709061360928,63.4982286108607,1,1,0,1,1,0,1
Panthera_pardus,Carnivora,0.05,0.05664464869186,5159.85485423298,37.4782672654423,49.1418305901988,1,1,0,0,0,0,1
Panthera_tigris,Carnivora,0.13265306122449,0.135332795742346,4239.65558541888,103.298433444092,139.588011363488,1,1,0,0,0,0,1
Panthera_uncia,Carnivora,0.098901098901099,0.115266429907576,4229.78521720578,34.609974617336,39.2627758744655,1,1,0,0,0,0,1
Papio_hamadryas,Primates,0.025,0.022938068566907,4958.0234374116,15.0518049714141,25.8452273211561,1,0,1,0,0,0,0
Petaurus_breviceps,Diprotodontia,0.107142857142857,0.054388938508725,2622.53623475386,0.089191838057477,0.109121734643086,1,1,1,0,0,0,0
Phacochoerus_africanus,Artiodactyla,0.177777777777778,0.235781915680825,3034.36761384973,81.531690681592,101.728629179019,0,0,0,0,0,0,0
Phoca_vitulina,Carnivora,0,0,6787.47333663846,62.2475054589687,84.749877435341,NA,NA,NA,NA,NA,NA,NA
Pithecia_pithecia,Primates,0,0,5126.2361731173,1.78302150962619,2.14445041157384,0,0,0,0,0,0,0
Pongo_pygmaeus,Primates,0.090909090909091,0.071886486473728,10468.7724556485,59.4284705942342,99.3544351924004,1,0,1,0,0,0,0
Potamochoerus_porcus,Artiodactyla,0.018518518518519,0.019938425250023,3194.94079939106,69.1152645657612,78.9812823360362,0,0,0,0,0,0,0
Prionailurus_bengalensis,Carnivora,0.037037037037037,0.014001497255186,3218.01314508297,3.89416557889688,4.88244011142061,1,1,0,1,1,1,1
Prionailurus_viverrinus,Carnivora,0.05,0.108167051812744,3726.89398755632,8.64242481471329,11.7253206989467,1,1,1,1,1,1,1
Procavia_capensis,Hyracoidea,0.064935064935065,0.052966797423775,1839.64940908389,3.22700808806895,3.45440875616739,0,0,0,0,0,0,0
Procyon_lotor,Carnivora,0.2,0.155881635751052,3894.24558972236,5.91165768469751,7.45703616868712,1,1,1,1,1,1,1
Pseudois_nayaur,Artiodactyla,0,0,3074.3526644272,38.786,51.904953271028,0,0,0,0,0,0,0
Pteropus_giganteus,Chiroptera,0.037037037037037,0.146595003600183,3722.0283799349,0.590275697585342,0.717157481335265,0,0,0,0,0,0,0
Pteropus_lylei,Chiroptera,0,NA,4444.7012674386,0.424126984126984,0.488,0,0,0,0,0,0,0
Pteropus_rodricensis,Chiroptera,0.010309278350516,0.007806218416533,3647.12591839265,0.349128017241379,0.358241209324915,0,0,0,0,0,0,0
Pteropus_vampyrus,Chiroptera,0.166666666666667,0.06060998400365,5213.50649085744,1.10581053836634,1.20055940996948,0,0,0,0,0,0,0
Pudu_puda,Artiodactyla,0,0,2000.24822099294,8.6915802368741,9.34085189937282,0,0,0,0,0,0,0
Puma_concolor,Carnivora,0.117647058823529,0.119066468407273,4386.41260044883,43.3803619822163,58.504029243962,1,1,0,0,0,0,1
Pygathrix_nemaeus,Primates,0,NA,4313.65659152312,10.8832392989167,13.1061792808937,0,0,0,0,0,0,0
Rangifer_tarandus,Artiodactyla,0.03448275862069,0.045753879373208,2735.5829672953,86.7677344598661,128.079412491204,0,0,0,0,0,0,0
Rousettus_aegyptiacus,Chiroptera,0.125,0.067188762226486,3516.45929805355,0.12310673430413,0.147396878374904,0,0,0,0,0,0,0
Rousettus_leschenaultii,Chiroptera,0,0,2073.83797618624,0.080380898876405,0.101806923076923,0,0,0,0,0,0,0
Rucervus_duvaucelii,Artiodactyla,0,0,3042.56959212769,102.770069,173.1375,0,0,0,0,0,0,0
Rucervus_eldii,Artiodactyla,0.011111111111111,0.00775707572561,3135.03530971687,75.6233727120055,97.3753309275362,0,0,0,0,0,0,0
Rusa_alfredi,Artiodactyla,0.028571428571429,0.015698611264757,2446.06154188797,35.4211111111111,45.3514285714286,0,0,0,0,0,0,0
Saguinus_bicolor,Primates,0,0,3546.76232960318,0.535975000668041,0.498657135877636,1,1,1,0,1,0,0
Saguinus_imperator,Primates,0.010309278350516,0.003239684527541,2758.0215244538,0.570820059310883,0.58743405868547,1,0,1,0,0,0,0
Saguinus_labiatus,Primates,0,0,2551.52506821274,0.61352890625,0.557079787234043,1,1,1,0,1,0,0
Saguinus_midas,Primates,0,0,3145.25082010904,0.539974227125984,0.525893329770609,1,1,1,0,1,0,0
Saguinus_oedipus,Primates,0.092105263157895,0.174631406518461,3538.22308142851,0.583068018919021,0.550565909166285,1,1,1,0,1,0,0
Saimiri_boliviensis,Primates,0.007142857142857,0.003708632589138,4289.5642411697,0.777603834630053,1.09309378192404,1,0,1,0,0,0,0
Saimiri_sciureus,Primates,0.031578947368421,NA,3961.62898862013,0.761402701097888,1.08367222356954,1,1,1,0,0,0,0
Sapajus_apella,Primates,0.026315789473684,NA,7343.08140398855,3.0950905271346,4.21555692949244,1,1,1,0,1,1,1
Sciurus_vulgaris,Rodentia,0.035714285714286,0.050910067355585,1387.35777525423,0.385776862745098,0.332731292517007,0,0,0,0,0,0,0
Speothos_venaticus,Carnivora,0.03125,0.01702185188872,2546.02167558917,7.9501203710991,7.22069701891516,1,1,0,0,0,0,1
Suricata_suricatta,Carnivora,0.077481840193705,0.12818586724219,2851.01034052171,1.03039113422428,1.05193642495128,1,1,1,0,0,0,0
Syncerus_caffer,Artiodactyla,0,0,5026.78594805667,438.185535508772,444.969626793651,0,0,0,0,0,0,0
Tapirus_indicus,Perissodactyla,0.2,0.089729930557198,5722.04105424485,339.955639077426,316.862512141885,0,0,0,0,0,0,0
