compound_name,species,strain,dosage,age_at_initiation,treatment_duration,avg_lifespan_change_percent,avg_lifespan_significance,max_lifespan_change_percent,max_lifespan_significance,gender,weight_change_percent,weight_change_significance,ITP,pubmed_id
Iodoform,Drosophila melanogaster,Oregon-R,"0.01 µg/mL	",,,-1.9,NA,,NA,Male,,NA,No,412727
Iodoform,Drosophila melanogaster,Oregon-R,0.001 µg/mL,,,-1.9,NA,,NA,Male,,NA,No,412727
Diiodomethane,Drosophila melanogaster,Oregon-R,0.1 µg/mL,,,14.5,S,,NA,Male,,NA,No,412727
Diiodomethane,Drosophila melanogaster,Oregon-R,1 µg/mL,,,14.5,S,,NA,Male,,NA,No,412727
Diiodomethane,Drosophila melanogaster,Oregon-R,10 µg/mL,,,29.3,S,,NA,Male,,NA,No,412727
Butylated hydroxytoluene,Mus musculus,BaLB/c,7500 ppm food,2.6 months,until death,25,S,0,NS,Female,,NA,No,448040
Butylated hydroxytoluene,Mus musculus,BaLB/c,7500 ppm food,2.6 months,until death,30,S,0,NS,Male,,NA,No,448040
Butylated hydroxytoluene,Mus musculus,BaLB/c,7500 ppm food,2 months,until death,14,S,0,NS,Female,,NA,No,448040
Butylated hydroxytoluene,Mus musculus,BaLB/c,7500 ppm food,2 months,until death,22,S,0,NS,Male,,NA,No,448040
Butylated hydroxytoluene,Mus musculus,BaLB/c,7500 ppm food,2 months,2.6 months,8,S,0,NS,Female,,NA,No,448040
Butylated hydroxytoluene,Mus musculus,BaLB/c,7500 ppm food,2 months,2.6 months,6,NS,0,NS,Male,,NA,No,448040
Ginseng extract,Mus musculus,LACa,40 ppm/day,2 months,until death,-2,NS,0,NS,Male,,NA,No,571386
Ginseng extract,Mus musculus,LACa,40 ppm/day,2 months,until death,9,NS,2,NS,Female,,NA,No,571386
Ginseng extract,Mus musculus,LACa,40 ppm/day,12 months,until death,3,NS,14,NS,Female,,NA,No,571386
Ginseng extract,Mus musculus,LACa,40 ppm/day,12 months,until death,-2,NS,11,NS,Male,,NA,No,571386
Pineal gland extract,Rattus norvegicus,,"0.5 mg, 5 times a week",,,25,S,,NA,Female,,NA,No,575333
Sulfamerazine,Rattus norvegicus,,250 mg/kg,,,13.84,S,,NA,Male,,NA,No,620944
Sulfamerazine,Rattus norvegicus,,250 mg/kg,,,36.21,S,,NA,Female,,NA,No,620944
Beta-aminopropionitrile fumarate,Mus musculus,LAF/J,3000 ppm water,2 months,18 months,5,S,0,NS,Male,0,NS,No,689120
Beta-aminopropionitrile fumarate,Mus musculus,LAF/J,3000 ppm water,2 months,12 months,5,S,8,NS,Male,0,NS,No,689120
Beta-aminopropionitrile fumarate,Mus musculus,LAF/J,3000 ppm water,2 months,6 months,0,NS,-2,NS,Male,0,NS,No,689120
Beta-aminopropionitrile fumarate,Mus musculus,LAF/J,1000 ppm water,2 months,18 months,6,S,7,NS,Male,0,NS,No,689120
Beta-aminopropionitrile fumarate,Mus musculus,LAF/J,1000 ppm water,2 months,12 months,6,S,-1,NS,Male,0,NS,No,689120
Beta-aminopropionitrile fumarate,Mus musculus,LAF/J,1000 ppm water,2 months,6 months,5,S,-1,NS,Male,0,NS,No,689120
p-fluorophenylalanine,Mus musculus,CBA,2 mM water,12 months,4 weeks,-5,NS,,NA,Female,0,NA,No,689376
p-fluorophenylalanine,Mus musculus,CBA,0.4 mM water,12 months,4 weeks,-14,S,,NA,Female,0,NA,No,689376
p-fluorophenylalanine,Mus musculus,CBA,0.08 mM water,12 months,4 weeks,0,NS,,NA,Female,-2,NA,No,689376
p-fluorophenylalanine,Mus musculus,CBA,2 mM water,1 month,4 weeks,-7,NS,,NA,Female,-12,NA,No,689376
p-fluorophenylalanine,Mus musculus,CBA,0.4 mM water,1 month,4 weeks,-3,NS,,NA,Female,-3,NA,No,689376
